URL,Version,Status,OIDs,Name,Title,Description,Used
http://fhir.ch/ig/ch-core/CodeSystem/ech-10,3.3.0,active,,ECH11CodeSystem,eCH-010 Types,"eCH-010 defines different Types for a postal address","ValueSet/ech-10-linetype"
http://fhir.ch/ig/ch-core/CodeSystem/ech-11-maritalstatus,3.3.0,active,,ECH11maritalstatus,eCH-011 MaritalStatus,"eCH-011 defines different maritalStatus Types. See [maritalData - Zivilstandsangaben eCH-11](https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/publikationen.assetdetail.349276.html) and/or [BFS Amtlicher Katalog der Merkmale](https://www.bfs.admin.ch/bfs/de/home/statistiken/kataloge-datenbanken/publikationen.assetdetail.349276.html).","ValueSet/ch-core-maritalstatus"
http://fhir.ch/ig/ch-core/CodeSystem/ech-7-cantonflabbreviation,3.3.0,active,,CSECH007CantonFLAbbreviation,eCH-0007 Canton Abbreviation incl. FL (Fürstentum Liechtenstein),"eCH-0007 defines cantonAbbreviation/cantonFLAbbreviation (Kantonskürzel inkl. Fürstentum Liechtenstein), see [here](https://www.ech.ch/de/ech/ech-0007/6.0).","ValueSet/ech-7-cantonabbreviation"
http://fhir.ch/ig/ch-elm/CodeSystem/ch-elm-foph-patient-name-representation,1.14.0,active,,ChElmFophPatientNameRepresentation,CH ELM FOPH Patient Name Representation,"This CH ELM resource defines the codes which identify possible patient name schemas to be used.","ValueSet/ch-elm-foph-patient-name-representation,ConceptMap/ch-elm-results-to-foph-patient-name-representation"
http://fhir.ch/ig/ch-elm/CodeSystem/ch-elm-interpretation-codes-vs,1.14.0,active,,ChElmInterpretationCodesVs,CH ELM Interpretation Codes Vs,"The codes contained in this code system represent URLs of value sets that can be used as target codes in ConceptMaps. These value sets define the codes that are permitted to indicate the observation interpretation in relation to the leading code.","ConceptMap/ch-elm-results-susc-to-component-interpretation-code,ConceptMap/ch-elm-results-geno-to-component-interpretation-code,ValueSet/ch-elm-interpretation-codes-vs,ConceptMap/ch-elm-results-to-interpretation-code"
http://fhir.ch/ig/ch-elm/CodeSystem/ch-elm-observation-profile-vs,1.14.0,active,,ChElmObservationProfileVs,CH ELM Observation Profile Vs,"The codes contained in this code system represent URLs of Profile Observations that can be used as target codes in ConceptMaps. These profiles defines the Observation in relation to the leading code.","ConceptMap/ch-elm-results-susc-to-component-observation-profile,ValueSet/ch-elm-observation-profile-vs,ConceptMap/ch-elm-results-to-observation-profile"
http://fhir.ch/ig/ch-elm/CodeSystem/ch-elm-results-completion-vs,1.14.0,active,,ChElmResultsCompletionVs,CH ELM Results Completion Vs,"The codes contained in this code system represent URLs of value sets that can be used as target codes in ConceptMaps. These value sets define the codes that are permitted for specifying the organism or specimen in relation to the leading code.","ValueSet/ch-elm-results-completion-vs,ConceptMap/ch-elm-expecting-organism-specification-to-results-completion-vs,ConceptMap/ch-elm-expecting-specimen-specification-to-results-completion-vs"
http://fhir.ch/ig/ch-elm/CodeSystem/ch-elm-results-component-vs,1.14.0,active,,ChElmResultsComponentVs,CH ELM Results Component Vs,"This CH ELM value set includes the value set URLs as codes to map in the concept maps the leading codes.","ValueSet/ch-elm-results-component-vs,ConceptMap/ch-elm-results-susc-to-component-code,ConceptMap/ch-elm-results-geno-to-component-code"
http://hl7.org/fhir/address-type,4.0.1,active,"2.16.840.1.113883.4.642.4.70",AddressType,AddressType,"The type of an address (physical / postal).","ValueSet/address-type"
http://hl7.org/fhir/address-use,4.0.1,active,"2.16.840.1.113883.4.642.4.68",AddressUse,AddressUse,"The use of an address.","ValueSet/address-use"
http://hl7.org/fhir/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.4.2",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","ValueSet/administrative-gender"
http://hl7.org/fhir/bundle-type,4.0.1,active,"2.16.840.1.113883.4.642.4.621",BundleType,BundleType,"Indicates the purpose of a bundle - how it is intended to be used.","ValueSet/bundle-type"
http://hl7.org/fhir/composition-attestation-mode,4.0.1,draft,"2.16.840.1.113883.4.642.4.239",CompositionAttestationMode,CompositionAttestationMode,"The way in which a person authenticated a composition.","ValueSet/composition-attestation-mode"
http://hl7.org/fhir/composition-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.242",CompositionStatus,CompositionStatus,"The workflow/clinical status of the composition.","ValueSet/composition-status"
http://hl7.org/fhir/contact-point-system,4.0.1,active,"2.16.840.1.113883.4.642.4.72",ContactPointSystem,ContactPointSystem,"Telecommunications form for contact point.","ValueSet/contact-point-system"
http://hl7.org/fhir/contact-point-use,4.0.1,active,"2.16.840.1.113883.4.642.4.74",ContactPointUse,ContactPointUse,"Use of contact point.","ValueSet/contact-point-use"
http://hl7.org/fhir/days-of-week,4.0.1,active,"2.16.840.1.113883.4.642.4.513",DaysOfWeek,DaysOfWeek,"The days of the week.","ValueSet/days-of-week"
http://hl7.org/fhir/diagnostic-report-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.236",DiagnosticReportStatus,DiagnosticReportStatus,"The status of the diagnostic report.","ValueSet/diagnostic-report-status"
http://hl7.org/fhir/document-reference-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.8",DocumentReferenceStatus,DocumentReferenceStatus,"The status of the document reference.","ValueSet/document-reference-status"
http://hl7.org/fhir/document-relationship-type,4.0.1,draft,"2.16.840.1.113883.4.642.4.245",DocumentRelationshipType,DocumentRelationshipType,"The type of relationship between documents.","ValueSet/document-relationship-type"
